Symbol,Name,Price_Intraday,Change,Percentage_Change
COLB,"Columbia Banking System, Inc.",27.68,-0.63,-2.23
CSTE,Caesarstone Ltd.,11.29,-0.91,-7.46
LXEH,"Lixiang Education Holding Co., Ltd.",9.1,0.48,5.57
HELE,Helen of Troy Limited,208,-0.18,-0.09
NTGR,"NETGEAR, Inc.",33.13,-0.27,-0.81
HNNA,"Hennessy Advisors, Inc.",8.62,0.19,2.25
CGNX,Cognex Corporation,72.36,-1.54,-2.08
WAFU,Wah Fu Education Group Limited,4.05,0.11,2.79
AOSL,Alpha and Omega Semiconductor Limited,18.61,1.22,7.02
EMCF,Emclaire Financial Corp,23.35,-0.31,-1.31
AVAV,"AeroVironment, Inc.",76.7,-0.92,-1.19
AZN,AstraZeneca PLC,55.52,0.36,0.65
HTHT,Huazhu Group Limited,41.34,-0.35,-0.84
NRBO,"NeuroBo Pharmaceuticals, Inc.",5.14,-0.12,-2.28
MDLZ,"Mondelez International, Inc.",55.84,0.2,0.36
BSJN,Invesco BulletShares 2023 High Yield Corporate Bond ETF,25,0.01,0.04
CREE,"Cree, Inc.",70.91,2.21,3.22
MOBL,"MobileIron, Inc.",7.02,0,0
LCAPW,,0.65,0,0
ATRS,"Antares Pharma, Inc.",2.85,-0.2,-6.56
LAKE,"Lakeland Industries, Inc.",22.86,-0.75,-3.18
EXPI,"eXp World Holdings, Inc.",47.62,-0.92,-1.9
IMMU,"Immunomedics, Inc.",87.86,0,0
CCNC,Code Chain New Continent Ltd,1.91,-0.06,-3.05
QH,Quhuo Limited,6.9,0.09,1.32
STFC,State Auto Financial Corporation,12.18,-0.25,-2.01
MRTN,"Marten Transport, Ltd.",16.22,0.11,0.68
COMT,iShares Commodities Select Strategy ETF,24.81,-0.14,-0.56
CTRP,Trip.com Group Limited,,,0
THCBU,Tuscan Holdings Corp.,10.8,0,0
RDVY,First Trust Rising Dividend Achievers ETF,34.37,-0.16,-0.46
BFRA,Biofrontera AG,6.67,-0.15,-2.2
FTSM,First Trust Enhanced Short Maturity ETF,60.04,0.01,0.02
SVACU,STARBOARD VALUE ACQUISITION CORP.,10,0,0
FCRD,"First Eagle Alternative Capital BDC, Inc.",3.06,0.11,3.73
NWS,News Corporation,15.14,1.24,8.92
ODP,"Office Depot, Inc.",24.28,-0.62,-2.49
SCYX,"SCYNEXIS, Inc.",4.9,0.17,3.59
DWMC,AdvisorShares Dorsey Wright Micro-Cap ETF,23.9071,-0.1797,-0.75
PINC,"Premier, Inc.",34.29,0.08,0.23
IBTA,iShares Trust - iShares iBonds Dec 2021 Term Treasury ETF,25.37,0.01,0.04
