,symbol,name,price,changesPercentage,change,dayLow,dayHigh,yearHigh,yearLow,priceAvg50,priceAvg200,avgVolume
2484,NXTC,"NextCure, Inc.",9.87,-7.5,-0.8,9.805,10.705,70.98,7.91,10.302143,17.42275,432242.0
2485,FFIN,"First Financial Bankshares, Inc.",30.6,-0.49,-0.15,30.535,31.29,36.45,20.7,29.538572,29.414072,389551.0
2486,PAAS,Pan American Silver Corp.,36.93,2.27,0.82,35.82,37.28,40.11,10.61,32.920284,31.023357,2464131.0
2487,THOR,"Synthorx, Inc.",67.99,0.0,0.0,67.99,68.01,71.9,11.05,67.99,67.99,0.0
2488,ODFL,"Old Dominion Freight Line, Inc.",207.02,0.41,0.85,205.35,208.865,208.87,105.8,192.98114,178.7465,778234.0
2489,CPIX,Cumberland Pharmaceuticals Inc.,2.92,0.34,0.01,2.92,2.98,5.8,2.77,3.106857,3.347643,15109.0
2490,FSFG,"First Savings Financial Group, Inc.",58.26,-2.08,-1.24,58.26,59.98,68.77,29.5,53.579716,46.24843,3465.0
2491,APPN,Appian Corporation,90.58,20.42,15.36,79.53,93.52,93.52,29.07,70.93714,57.154785,618717.0
2492,CTSO,Cytosorbents Corporation,8.5,-4.39,-0.39,8.33,9.08,11.74,3.49,8.210857,9.112785,329237.0
2493,RGNX,REGENXBIO Inc.,30.01,3.45,1.0,28.995,30.1,54.97,20.03,28.389572,33.96475,352603.0
2494,VJET,voxeljet AG,8.39,-3.12,-0.27,8.28,8.7999,11.85,2.9,8.814571,7.296214,32195.0
2495,HCAP,Harvest Capital Credit Corporation,3.32,-0.6,-0.02,3.165,3.34,9.43,2.66,3.3225715,3.781643,16082.0
2496,FREE,"Whole Earth Brands, Inc.",8.59,1.66,0.14,8.43,8.73,11.08,6.92,8.338572,8.313578,580159.0
2497,ZWZZT,ZWZZT,10.8,0.0,0.0,10.8,10.8,10.8,10.8,,,
2498,FBNC,First Bancorp,27.39,12.16,2.97,26.65,29.67,41.34,17.32,22.728,22.864286,162392.0
2499,PCRX,"Pacira BioSciences, Inc.",50.47,-4.32,-2.28,49.65,54.01,64.44,27.46,56.34457,52.611073,466812.0
2500,MCBS,"MetroCity Bankshares, Inc.",13.63,-1.59,-0.22,13.63,13.89,19.07,8.31,13.866858,12.966357,24112.0
2501,LOACU,Longevity Acquisition Corporation,12.2,-0.41,-0.05,12.2,12.2,12.77,10.25,11.165429,10.690643,773.0
2502,IDEX,"Ideanomics, Inc.",0.9397,0.89,0.0083,0.9069,0.95,3.98,0.28,0.91228575,1.0954286,7021481.0
2503,PUYI,Puyi Inc.,5.35,-13.85,-0.86,5.35,5.35,9.02,4.11,5.866343,6.191836,2384.0
2504,ONCT,"Oncternal Therapeutics, Inc.",3.92,16.67,0.56,3.09,4.15,6.29,1.49,1.8405714,2.4668572,1682234.0
2505,SRACU,Stable Road Acquisition Corp.,11.1,0.0,0.0,11.08,11.24,12.375,9.3,11.114637,10.347539,8073.0
2506,VERI,"Veritone, Inc.",9.91,-6.6,-0.7,9.85,10.64,19.67,1.22,9.55,10.174536,661418.0
2507,ZEUS,"Olympic Steel, Inc.",12.28,-1.52,-0.19,12.28,12.59,18.41,7.74,11.893143,10.930643,38739.0
2508,NBSE,"NeuBase Therapeutics, Inc.",7.84,-1.26,-0.1,7.66,8.02,11.78,4.523,8.217857,8.316573,182705.0
2509,III,"Information Services Group, Inc.",2.41,3.43,0.08,2.2,2.49,3.76,1.61,2.114,2.1137142,55318.0
2510,SGLB,"Sigma Labs, Inc.",2.27,-0.44,-0.01,2.2543,2.3443,7.0,0.5511,2.3308427,2.4921422,1450976.0
2511,DERM,"Dermira, Inc.",18.75,0.0,0.0,18.74,18.77,19.48,6.3,18.75,18.75,0.0
2512,XRAY,DENTSPLY SIRONA Inc.,45.74,-1.87,-0.87,45.44,46.755,60.87,31.58,45.387714,44.18357,1270839.0
2513,CLSN,Celsion Corporation,0.482,1.35,0.0064,0.4796,0.495,6.5,0.43,0.6317143,1.5992857,829546.0
2514,MMYT,MakeMyTrip Limited,20.0,-2.68,-0.55,19.98,20.96,30.13,10.0,17.933714,16.251785,456315.0
2515,SBPH,"Spring Bank Pharmaceuticals, Inc.",1.19,-7.75,-0.1,1.13,1.31,4.8,0.8,1.2873429,1.4669214,65873.0
2516,FORK,Fuling Global Inc.,2.33,0.0,0.0,2.32,2.35,2.65,1.4,2.332257,2.0334144,16965.0
2517,VVUS,"VIVUS, Inc.",0.4665,-10.29,-0.0535,0.46,0.495,4.55,0.0697,0.370722,0.6089954,256697.0
2518,RLMD,"Relmada Therapeutics, Inc.",31.89,-2.77,-0.91,31.86,33.45,54.0,23.25,35.405716,39.999928,93154.0
2519,ADP,"Automatic Data Processing, Inc.",166.23,2.16,3.52,163.56,166.58,182.32,103.11,146.80486,143.83714,2145728.0
2520,INFN,Infinera Corporation,6.7,-6.29,-0.45,6.625,7.2401,9.25,3.68,6.4422855,6.368143,2185965.0
2521,ZVO,Zovio Inc,3.53,-3.55,-0.13,3.48,3.64,7.239,1.08,4.1540003,3.6857858,499350.0
2522,INFR,Legg Mason Global Infrastructure ETF,27.645,-0.95,-0.265,27.645,27.82,34.083,21.43,27.639257,27.401857,1826.0
2523,IMAB,I-Mab,35.69,-2.51,-0.92,34.555,36.42,47.46,9.3,40.109142,30.743736,242384.0
2524,HROW,"Harrow Health, Inc.",4.93,0.61,0.03,4.88,5.12,7.92,3.33,5.412857,5.5677857,115189.0
2525,KOPN,Kopin Corporation,1.4,-2.78,-0.04,1.38,1.475,2.16,0.19,1.3494285,1.3087143,539845.0
